Question, -1.0, -0.75, -0.5, -0.48, -0.38, -0.25, 0.0, 0.12, 0.25, 0.5, -0.55, -0.05, 0.38, -0.88, 0.2, 0.88, 1.0, -0.12, -0.35
IPC033-289 v1,1.0,9.0,1.0,1.0,2.0,47.0,49.0,28.0,108.0,1.0,,,,,,,,,
IPC033-290 v1,,21.0,,,,,117.0,7.0,105.0,,2.0,,,,,,,,
IPC033-291 v1,1.0,,,,,,92.0,3.0,96.0,48.0,2.0,7.0,4.0,,,,,,
IPC033-292 v1,,1.0,,,,,180.0,1.0,24.0,3.0,41.0,,,1.0,1.0,1.0,1.0,,
IPC033-293 v1,,1.0,,,,,170.0,1.0,35.0,2.0,43.0,,,,,,1.0,1.0,
IPC033-294 v1,,1.0,,,,,143.0,1.0,51.0,23.0,31.0,,,,,2.0,1.0,,1.0
IPC033-295 v1,,,,,,,202.0,,48.0,1.0,,,1.0,,,2.0,,,
IPC033-309 v1,1.0,,,,,,100.0,18.0,115.0,3.0,2.0,,,,,,,,
MSE,0.064,,,,,,,,,,,,,,,,,,
MAD,0.155,,,,,,,,,,,,,,,,,,
